,kal_perif_enothta,kal_perifereia,epo,power_mw,max_power,imerominia_ekdosis_adeias,area_m2,geometry,xmu,ymu
10,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΟΧΙ,3,,12/1/2020,,"MULTIPOLYGON (((25.798399678703724 41.157713550093796, 25.80636939018927 41.15975957548746, 25.807083598913117 41.15799194370859, 25.799222034878124 41.155971298615334, 25.798399678703724 41.157713550093796)))",41.15771355,25.79839968
11,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,4,,1/20/2021,,"MULTIPOLYGON (((23.59297046094176 38.18080972325083, 23.59075662900261 38.17854889843352, 23.58558533805382 38.1816960364502, 23.587884792761486 38.183889947359596, 23.59297046094176 38.18080972325083)))",38.18080972,23.59297046
12,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΟΧΙ,63,63,9/8/2022,,"MULTIPOLYGON (((25.727311293081993 41.14858295369707, 25.730726229902945 41.151972205401364, 25.73136261643223 41.15555412266786, 25.737642397232086 41.15650447764227, 25.74139760574074 41.15843956233152, 25.73782032601045 41.161859510632794, 25.740063910406175 41.16319986882959, 25.744237402004998 41.15920975220389, 25.748936101287526 41.15871015283763, 25.754589335887275 41.15982282583685, 25.757972630210432 41.15742712515656, 25.761712075666946 41.158428079674735, 25.7685948690293 41.158381610432066, 25.76853714774846 41.15623473690189, 25.764232730979376 41.156300760385975, 25.765819739150754 41.15370708183957, 25.770229141829713 41.14956916263255, 25.76800226939868 41.14821344291482, 25.763378083243424 41.152552762474336, 25.761228236884207 41.156005716298615, 25.75856785195307 41.15529357329199, 25.756152966374433 41.15245727021555, 25.751162442685605 41.14611082917683, 25.748704511061867 41.14721506002381, 25.753720814350974 41.15359457658076, 25.755782544638866 41.156016218766425, 25.753784483053558 41.15743103063521, 25.74910370030252 41.156509706351194, 25.74381939644111 41.15707158072947, 25.73877338982816 41.15447138120889, 25.733925152457502 41.153737726106144, 25.73345955542667 41.15111764179756, 25.729586057158297 41.14727343789885, 25.727311293081993 41.14858295369707)))",41.14858295,25.72731129
13,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,3,3,10/14/2020,,"MULTIPOLYGON (((22.650187090077758 38.441894000803764, 22.654410735702466 38.443366417935366, 22.6562301838012 38.44102626038778, 22.652158067239277 38.43942047822824, 22.650187090077758 38.441894000803764)))",38.441894,22.65018709
14,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΟΧΙ,3,,10/14/2020,,"MULTIPOLYGON (((25.76058618955648 41.18584226973332, 25.766645754812593 41.1912619250665, 25.768754116710117 41.189851440500874, 25.7628046753045 41.18453829701293, 25.76058618955648 41.18584226973332)))",41.18584227,25.76058619
15,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,20.7,20.7,9/23/2020,,"MULTIPOLYGON (((22.989288312699937 38.32482479182134, 22.99439303120431 38.32386842687733, 22.998049436261468 38.32480849380656, 22.9985089498747 38.32474437771921, 23.00111266980685 38.320420347530124, 23.000794545436907 38.320020026558154, 22.99727118882881 38.31832984933737, 22.995810853189912 38.318506157707965, 22.99452746201696 38.31912222026134, 22.99343785577022 38.31890911218641, 22.99217023174658 38.31906188519872, 22.991458420411153 38.318645718963545, 22.986597947052818 38.319254762955964, 22.986573345191907 38.3192799643156, 22.986489377592036 38.319263828185846, 22.985227462167213 38.31941594451034, 22.985068449012953 38.31921963838757, 22.976367852937592 38.3189902810392, 22.975016652307414 38.322825712782866, 22.97530912921277 38.32319397620668, 22.97648926439064 38.323852335251, 22.979272936237102 38.32406395481954, 22.979543214851322 38.32402647364927, 22.979664907218645 38.324093770759475, 22.989288312699937 38.32482479182134)))",38.32482479,22.98928831
16,ΦΩΚΙΔΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,20.7,20.7,9/23/2020,,"MULTIPOLYGON (((22.524241784168034 38.3879971356403, 22.530666996372272 38.39211179653729, 22.534846167872537 38.38790903072381, 22.53850912906763 38.384107628371524, 22.536167207500643 38.377589161608824, 22.535977859381507 38.37670879760923, 22.536381119078086 38.37431909270952, 22.537205505950215 38.37179189742657, 22.53610850514877 38.36894747932507, 22.53217202183856 38.36754903885755, 22.528339325896365 38.368725301879806, 22.525958854249918 38.37613022365967, 22.52896218410834 38.38201250321782, 22.52783520941117 38.38398234245074, 22.524241784168034 38.3879971356403)))",38.38799714,22.52424178
17,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΟΧΙ,3.2,2.99,10/11/2021,,"MULTIPOLYGON (((25.833993517528587 41.08740011360995, 25.838700960584433 41.0873250704724, 25.838582310306276 41.08306948620742, 25.833875170603342 41.08314451816742, 25.833993517528587 41.08740011360995)))",41.08740011,25.83399352
18,ΦΘΙΩΤΙΔΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,0.95,0.95,9/2/2022,,"MULTIPOLYGON (((23.008846620337373 38.61526660893157, 23.010803053579295 38.613749903620615, 23.01101748746261 38.612094191202125, 23.00928840672527 38.61020112062334, 23.005403265586335 38.61033819846398, 23.00387938380721 38.61274953893032, 23.005421183388055 38.614969217075554, 23.008846620337373 38.61526660893157)))",38.61526661,23.00884662
19,ΦΘΙΩΤΙΔΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,0.95,0.95,9/2/2022,,"MULTIPOLYGON (((23.01292786785184 38.62047923668052, 23.015634972614738 38.6188989093326, 23.015696490891763 38.61657539886003, 23.01411820308608 38.61520612836075, 23.010432781929563 38.61530301939258, 23.008967846728183 38.61676849211057, 23.009601290190584 38.619486364120974, 23.01292786785184 38.62047923668052)))",38.62047924,23.01292787
