,kal_perif_enothta,kal_perifereia,epo,power_mw,max_power,imerominia_ekdosis_adeias,area_m2,geometry,xmu,ymu
12,"ΕΒΡΟΥ,ΡΟΔΟΠΗΣ",Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΝΑΙ,28.8,28.8,10/23/2014,,"MULTIPOLYGON (((25.8564275780553 41.059651567395576, 25.85602846464308 41.06107541725549, 25.858305925888807 41.06426031599606, 25.86148408621353 41.06471864916813, 25.86432862458117 41.06581528836948, 25.867709577387416 41.06503122283224, 25.869242780271414 41.062951581344905, 25.86465872279327 41.059032987792634, 25.86238745580135 41.05905898579022, 25.862018157142156 41.0582484289983, 25.861479078949575 41.05695792723469, 25.864403817190574 41.05443289062639, 25.862036383284472 41.05092428527717, 25.859791427631333 41.05049426898007, 25.85982933680736 41.04972802531838, 25.863338814983322 41.0490757856686, 25.86460449378182 41.04773521410325, 25.864882788989846 41.045847950106634, 25.863045760668815 41.04473107717693, 25.856241261986924 41.04569788680892, 25.855288536276817 41.046218783004186, 25.853794753490387 41.046230850212766, 25.852087580365502 41.047160748714354, 25.85053540729096 41.04909608318637, 25.855511210266876 41.05158395367242, 25.855490929816483 41.05331389093523, 25.85547506349352 41.05844215206542, 25.8564275780553 41.059651567395576)), ((25.84709951644906 41.04101759448795, 25.841538184155826 41.0398597110914, 25.84102344254166 41.04087246773047, 25.840455361834433 41.0413610489063, 25.83929586534027 41.04154639038227, 25.837762789716304 41.04161423353686, 25.83902053357344 41.044306219258, 25.840366606367905 41.04408930140736, 25.842378032887105 41.045087584347236, 25.84398538622357 41.045155790390744, 25.843989899441905 41.04516155949001, 25.843989899441898 41.04516155949001, 25.845096268401846 41.04643474336753, 25.84824441653806 41.047996913827575, 25.85102246555506 41.047506807466064, 25.853119892457283 41.04560669273938, 25.84969086670545 41.0414940222883, 25.84709951644905 41.04101759448795, 25.84709951644906 41.04101759448795)))",41.05965157,25.85642758
13,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,0.8,0.8,10/9/2014,,"MULTIPOLYGON (((23.560136688010722 38.17127625201834, 23.556532245689507 38.17077887360756, 23.556489846745027 38.171891211568145, 23.559811862398238 38.17222385839614, 23.560136688010722 38.17127625201834)))",38.17127625,23.56013669
14,ΕΒΡΟΥ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΝΑΙ,3,3,8/27/2014,,"MULTIPOLYGON (((25.9636378015256 40.9307505725985, 25.968386147874156 40.93066958914021, 25.968279248045253 40.927068405982716, 25.96353115916719 40.92714937922549, 25.9636378015256 40.9307505725985)))",40.93075057,25.9636378
15,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,2.4,2.4,7/17/2014,,"MULTIPOLYGON (((23.57575021149456 38.153228046097084, 23.576619857312206 38.15161002886373, 23.575728431390182 38.15099998469852, 23.575110797564033 38.15059631107847, 23.574533124004624 38.15021874776108, 23.57384961677785 38.14977200362343, 23.57244245314878 38.14912323629054, 23.571657229515512 38.14883367362559, 23.570734734573577 38.14997314302861, 23.571896064260212 38.15104938801999, 23.57251061661416 38.151624424230484, 23.57358622358751 38.152575926495665, 23.5747468888199 38.153590689422565, 23.57575021149456 38.153228046097084)))",38.15322805,23.57575021
16,"ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΒΟΙΩΤΙΑΣ",Π. ΑΤΤΙΚΗΣ,ΝΑΙ,16.5,15,7/17/2014,,"MULTIPOLYGON (((23.627575060596758 38.17464283010195, 23.628957858109914 38.172123695383775, 23.62388455126248 38.17075567569009, 23.6208623238071 38.17016014256812, 23.612314419849316 38.16747353579872, 23.611393759334085 38.16886743767543, 23.627575060596758 38.17464283010195)))",38.17464283,23.62757506
17,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,14.9,14.9,7/10/2014,,"MULTIPOLYGON (((23.54766764077853 38.16368239514499, 23.550511676340832 38.165270507554105, 23.55178803114932 38.16189568431642, 23.550139559216117 38.16080787716919, 23.54813953186648 38.16120576393345, 23.54766764077853 38.16368239514499)), ((23.56183774279191 38.16112247705959, 23.57240563461722 38.15953916757319, 23.571514642887337 38.1557506490192, 23.560265963681253 38.156745518108586, 23.56183774279191 38.16112247705959)))",38.1636824,23.54766764
18,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,17.2,17.2,7/3/2014,,"MULTIPOLYGON (((23.410682863456923 38.220790631551104, 23.415260504567428 38.21978610865829, 23.418277931567502 38.219593814619785, 23.416791726430727 38.214007759217985, 23.408488397832333 38.21668796355712, 23.40525406556076 38.219681764824195, 23.405090225201416 38.22156452600163, 23.406183159913102 38.22202969196279, 23.410682863456923 38.220790631551104)), ((23.420397609366223 38.22600310424661, 23.41978504521442 38.222575366496656, 23.416058168135613 38.221466386147554, 23.4141186089161 38.22257425968043, 23.40966746074455 38.22345319961583, 23.405384287119446 38.22333244553143, 23.404015429148345 38.22447909013279, 23.403719255065603 38.22717229077809, 23.405465721638244 38.228767329589395, 23.415827898827516 38.22740441019436, 23.420397609366223 38.22600310424661)), ((23.413911096421245 38.23135129415275, 23.412407320989196 38.23080303293575, 23.4092940798434 38.231481360825526, 23.40813205805138 38.23388181319312, 23.411425284978296 38.236403814152936, 23.414946060605857 38.234799187755605, 23.413911096421245 38.23135129415275)), ((23.41134101656743 38.23693512178849, 23.407357824618384 38.23354444859255, 23.4043822223019 38.23553914723481, 23.405285841800353 38.23822941656956, 23.41134101656743 38.23693512178849)))",38.22079063,23.41068286
19,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΝΑΙ,14.4,14.4,6/4/2014,,"MULTIPOLYGON (((25.637894207082724 41.196732293499075, 25.637922090119034 41.19689402948669, 25.63874866461867 41.1975217915104, 25.639653758669322 41.197950267329304, 25.640746005564313 41.1982319514103, 25.641869073911554 41.198315023588044, 25.6428684285769 41.19821970276436, 25.643437716944607 41.19809448297964, 25.64330225281374 41.196493105612674, 25.64445865612221 41.19644053585548, 25.644385634815976 41.190703915479595, 25.64370415939821 41.190155188311685, 25.64253868838614 41.18837034412811, 25.63929496538386 41.190740472206905, 25.6380314603638 41.19075845324104, 25.63781934756655 41.19133794255413, 25.637894207082724 41.196732293499075)), ((25.65316319416747 41.18744366552427, 25.65300362969663 41.186788418049126, 25.65270240006084 41.18618924788931, 25.652039083747397 41.185415124760766, 25.65055000230658 41.184517726425405, 25.649397449374852 41.18420096827896, 25.647857464759873 41.18412393541306, 25.64653991341304 41.18435895987533, 25.646069325187646 41.18556366944955, 25.64388486628869 41.1873693294587, 25.644293971852175 41.187994004652, 25.64513717303786 41.18928803021973, 25.644704939203777 41.18964549243427, 25.644495941017635 41.19272899869557, 25.645984158436548 41.192635675570834, 25.645996339886786 41.19312189934561, 25.64916106941379 41.191410253173444, 25.652794094095967 41.188412752817, 25.65316319416747 41.18744366552427)))",41.19673229,25.63789421
20,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,3.3,2.99,4/30/2014,,"MULTIPOLYGON (((23.556653872791983 38.161382412554126, 23.5605798226944 38.16150531686241, 23.560696234065748 38.159225578743595, 23.55894469063699 38.15818257169797, 23.55685112347448 38.158967795427735, 23.556653872791983 38.161382412554126)))",38.16138241,23.55665387
21,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΝΑΙ,27.6,27.6,3/12/2014,,"MULTIPOLYGON (((25.634151153176397 41.215962138214564, 25.642416064078414 41.22066345721781, 25.643946303728224 41.22031735334877, 25.64560423175291 41.2160241925153, 25.649046401052495 41.21819074563401, 25.653157229324293 41.21895145925719, 25.6572888587103 41.22147716111832, 25.659003691296572 41.22088500230259, 25.66013902797323 41.22002194863949, 25.660771211603553 41.21907606967129, 25.661025965166363 41.21782938405044, 25.660873379103965 41.21698489686509, 25.660409625876408 41.21609986069461, 25.656580639546526 41.21374105295811, 25.652518025816423 41.212988775074734, 25.650954720610635 41.21201138800837, 25.649252514988447 41.21167549022819, 25.64896712988788 41.21076082914774, 25.648288341863445 41.2103291889449, 25.642430304173068 41.208359228331524, 25.64037818897535 41.209289218249275, 25.639392343398793 41.21184333140241, 25.63360185682707 41.20826865057742, 25.62388167187527 41.21166681552775, 25.624628511791098 41.21292631651917, 25.6256747076023 41.21374923303695, 25.627144177125523 41.214322960261185, 25.629829579620207 41.21438405831367, 25.63137892283175 41.21528987224044, 25.632467006917583 41.21491415585919, 25.634151153176397 41.215962138214564)))",41.21596214,25.63415115
